test,col,row,R,G,B
P01,1,1,147,71,69
P13,2,1,207,117,36
P02,1,2,231,175,30
P14,2,2,65,106,59
P03,1,3,7,104,168
P15,2,3,116,87,151
P04,1,4,99,60,56
P16,2,4,167,92,61
P05,1,5,220,168,89
P17,2,5,49,87,70
P06,1,6,22,84,143
P18,2,6,91,74,119
P07,1,7,50,53,59
P19,2,7,84,86,98
P08,1,8,117,119,131
P20,2,8,156,156,171
P09,1,9,193,192,204
P21,2,9,223,219,232
P10,1,10,136,45,43
P22,2,10,23,93,46
P11,1,11,17,45,137
P23,2,11,168,139,42
P12,1,12,0,133,154
P24,2,12,133,55,150
